id,code,location,year,genotype,state,country,test1,test2,carb1,carb2,teb1,teb2,rep_discrim,teb_dose2_rep1,teb_dose2_rep2
1,2545,Turvo,2011,15ADON,PR,Brazil,52.54,49.76,14.97,14.92,24.62,24.22,1,NA,NA
2,2546,Turvo,2011,15ADON,PR,Brazil,52.14,51.69,13.49,13.25,19.74,20.19,1,NA,NA
3,2551,Guarapuava,2011,15ADON,PR,Brazil,54.3,53.06,14.28,12.99,19.51,17.01,1,NA,NA
4,2553,Guarapuava,2011,15ADON,PR,Brazil,33.58,30.94,16.6,14.6,18.97,18.66,1,NA,NA
5,2554,Guarapuava,2011,15ADON,PR,Brazil,54.84,56.88,17.81,17.25,23.5,19.7,1,NA,NA
6,2555,Guarapuava,2011,15ADON,PR,Brazil,50.57,51.95,20.19,17.09,19.46,19.02,1,NA,NA
7,2562,Goioxim,2011,15ADON,PR,Brazil,44,36.35,15.43,12.8,15.86,12.26,1,NA,NA
8,2580,Guarapuava,2011,15ADON,PR,Brazil,59.54,56.64,17.16,16.54,24.68,23.71,1,NA,NA
9,2628,Candói,2011,15ADON,PR,Brazil,38.76,43.26,15.63,15.59,17.78,17.14,1,NA,NA
10,2636,Guarapuava,2011,15ADON,PR,Brazil,51.93,53.01,22.18,19.4,30.78,29.93,1,NA,NA
11,2650,Guarapuava,2011,15ADON,PR,Brazil,50.33,44.4,15.14,15.07,19.24,16.26,1,NA,NA
12,2653,Guarapuava,2011,15ADON,PR,Brazil,49.56,51.09,16.04,14.76,27.63,28.25,1,NA,NA
13,2654,Guarapuava,2011,15ADON,PR,Brazil,49.74,51.47,15.74,15.08,16.88,15.8,1,NA,NA
14,2655,Guarapuava,2011,15ADON,PR,Brazil,32.71,31.14,22.39,20.33,16.82,17.25,1,NA,NA
15,2657,Guarapuava,2011,15ADON,PR,Brazil,33.53,33.12,24.99,23.77,28.29,26.13,1,NA,NA
16,2659,Guarapuava,2011,15ADON,PR,Brazil,55,52.17,15.88,11.36,31.44,29.25,1,NA,NA
17,2660,Pinhão,2011,15ADON,PR,Brazil,33.14,31.95,13.66,13.01,13.97,11.93,1,NA,NA
18,2662,Pinhão,2011,15ADON,PR,Brazil,51.9,54.24,24.64,24.38,37.38,37.68,1,NA,NA
