id,code,location,year,genotype,state,country,lon,lat
1,UEM-2545,Turvo,2011,15ADON,PR,Brazil,-51.5394632,-25.0462085
2,UEM-2546,Turvo,2011,15ADON,PR,Brazil,-51.5394632,-25.0462085
3,UEM-2551,Guarapuava,2011,15ADON,PR,Brazil,-51.4628097,-25.3907214
4,UEM-2553,Guarapuava,2011,15ADON,PR,Brazil,-51.4628097,-25.3907214
5,UEM-2554,Guarapuava,2011,15ADON,PR,Brazil,-51.4628097,-25.3907214
6,UEM-2555,Guarapuava,2011,15ADON,PR,Brazil,-51.4628097,-25.3907214
7,UEM-2562,Goioxim,2011,15ADON,PR,Brazil,-51.9791849,-25.118718
8,UEM-2580,Guarapuava,2011,15ADON,PR,Brazil,-51.4628097,-25.3907214
9,UEM-2628,Candói,2011,15ADON,PR,Brazil,-51.9368545,-25.4675864
10,UEM-2636,Guarapuava,2011,15ADON,PR,Brazil,-51.4628097,-25.3907214
11,UEM-2650,Guarapuava,2011,15ADON,PR,Brazil,-51.4628097,-25.3907214
12,UEM-2653,Guarapuava,2011,15ADON,PR,Brazil,-51.4628097,-25.3907214
13,UEM-2654,Guarapuava,2011,15ADON,PR,Brazil,-51.4628097,-25.3907214
14,UEM-2655,Guarapuava,2011,15ADON,PR,Brazil,-51.4628097,-25.3907214
15,UEM-2657,Guarapuava,2011,15ADON,PR,Brazil,-51.4628097,-25.3907214
16,UEM-2659,Guarapuava,2011,15ADON,PR,Brazil,-51.4628097,-25.3907214
17,UEM-2660,Pinhão,2011,15ADON,PR,Brazil,-51.6540907,-25.6948725
18,UEM-2662,Pinhão,2011,15ADON,PR,Brazil,-51.6540907,-25.6948725
19,UEM-2664,Pinhão,2011,15ADON,PR,Brazil,-51.6540907,-25.6948725
20,UEM-2665,Pinhão,2011,15ADON,PR,Brazil,-51.6540907,-25.6948725
21,UEM-2687,Candói,2011,15ADON,PR,Brazil,-51.9368545,-25.4675864
22,UEM-2689,Candói,2011,15ADON,PR,Brazil,-51.9368545,-25.4675864
23,UEM-2692,Candói,2011,15ADON,PR,Brazil,-51.9368545,-25.4675864
24,UEM-2702,Reserva do Iguaçu,2011,15ADON,PR,Brazil,-51.9791849,-25.8418958
25,UEM-2703,Reserva do Iguaçu,2011,15ADON,PR,Brazil,-51.9791849,-25.8418958
26,UEM-2705,Reserva do Iguaçu,2011,15ADON,PR,Brazil,-51.9791849,-25.8418958
27,UEM-2710,Pinhão,2011,15ADON,PR,Brazil,-51.6540907,-25.6948725
28,UEM-2713,Pinhão,2011,15ADON,PR,Brazil,-51.6540907,-25.6948725
29,UEM-2727,Santa M. do Oeste,2011,15ADON,PR,Brazil,-51.8714504,-24.9384534
30,UEM-2728,Santa M. do Oeste,2011,15ADON,PR,Brazil,-51.8714504,-24.9384534
31,UEM-2729,Santa M. do Oeste,2011,15ADON,PR,Brazil,-51.8714504,-24.9384534
32,UEM-2744,Manoel Ribas,2011,15ADON,PR,Brazil,-51.6623517,-24.4815979
33,UEM-2745,Manoel Ribas,2011,15ADON,PR,Brazil,-51.6623517,-24.4815979
