isolate,dose,cm,cm-6,inib,reduct,fungicide,year,genotype,mycelial_growth
2794,0,72.03,66.03,0,100,CARB,2011,15ADON,66.03
2794,0.5,56.8275,50.8275,23.02362562,76.97637438,CARB,2011,15ADON,50.8275
2794,1,40.9025,34.9025,47.14145086,52.85854914,CARB,2011,15ADON,34.9025
2794,2,19.8825,13.8825,78.9754657,21.0245343,CARB,2011,15ADON,13.8825
2794,4,6,0,100,0,CARB,2011,15ADON,0
2832,0,75.355,69.355,0,100,CARB,2011,15ADON,69.355
2832,0.5,75.6075,69.6075,-0.3640689208,100.3640689,CARB,2011,15ADON,69.6075
2832,1,49.83,43.83,36.80340278,63.19659722,CARB,2011,15ADON,43.83
2832,2,20.61,14.61,78.93446759,21.06553241,CARB,2011,15ADON,14.61
2832,4,6,0,100,0,CARB,2011,15ADON,0
2781,0,58.265,52.265,0,100,CARB,2011,15ADON,52.265
2781,0.5,57.92,51.92,0.6600975796,99.33990242,CARB,2011,15ADON,51.92
2781,1,36.645,30.645,41.36611499,58.63388501,CARB,2011,15ADON,30.645
2781,2,19.9075,13.9075,73.39041424,26.60958576,CARB,2011,15ADON,13.9075
2781,4,6,0,100,0,CARB,2011,15ADON,0
2816,0,81.5,75.5,0,100,CARB,2011,15ADON,75.5
2816,0.5,81.94,75.94,-0.582781457,100.5827815,CARB,2011,15ADON,75.94
2816,1,52.2575,46.2575,38.73178808,61.26821192,CARB,2011,15ADON,46.2575
2816,2,24.0175,18.0175,76.13576159,23.86423841,CARB,2011,15ADON,18.0175
2816,4,6,0,100,0,CARB,2011,15ADON,0
2546,0,78.735,72.735,0,100,CARB,2011,15ADON,72.735
2546,0.5,80.7175,74.7175,-2.7256479,102.7256479,CARB,2011,15ADON,74.7175
2546,1,49.1275,43.1275,40.70598749,59.29401251,CARB,2011,15ADON,43.1275
2546,2,27.36,21.36,70.63312023,29.36687977,CARB,2011,15ADON,21.36
2546,4,9.275,3.275,95.49735341,4.502646594,CARB,2011,15ADON,3.275
2551,0,60.7375,54.7375,0,100,CARB,2011,15ADON,54.7375
2551,0.5,66.285,60.285,-10.13473396,110.134734,CARB,2011,15ADON,60.285
2551,1,41.1025,35.1025,35.87120347,64.12879653,CARB,2011,15ADON,35.1025
2551,2,16.095,10.095,81.5574332,18.4425668,CARB,2011,15ADON,10.095
2551,4,6,0,100,0,CARB,2011,15ADON,0
2655,0,51.1775,45.1775,0,100,CARB,2011,15ADON,45.1775
2655,0.5,45.965,39.965,11.53782303,88.46217697,CARB,2011,15ADON,39.965
2655,1,42.53,36.53,19.1411654,80.8588346,CARB,2011,15ADON,36.53
